dwd_id,wmo_id,name
856,10982,Chieming
50036456,89002,GEORG VON NEUMAYER
3217,A051,Weesby
5732,A112,Wrixum/Föhr
791,A138,Bordelum
1130,A159,Eggebek
1379,A160,Flensburg (Schäferhaus)
4405,A173,Satrup
4896,A191,Wagersrott
1963,A201,Hallig Hooge
4919,A216,Strucklahnungshörn
7298,A226,Hattstedt
1813,A345,Groß Wittensee
1266,A351,Erfde
1827,A397,Großenbrode
2734,A411,Krempel
6105,A443,Ostenfeld (Rendsburg)
4666,A473,Köhn
5877,A480,Putlos
2306,A481,Hohwacht
788,A505,Büsum
5057,A536,Haale
7427,A653,Padenstedt (Pony-Park)
5078,A699,Travemünde
13687,A752,Weddelbrook
5280,A762,Wittenborn
4602,A791,"Schwartau,Bad -Groß Parin"
5058,A940,Sprenge
1736,A981,Grambek
2201,B006,Hiddensee-Vitte
6097,B040,Darßer Ort (SWN)
4352,B085,Sagard
6199,B158,Steinhagen-Negast
6101,B203,Bastorf-Kägsdorf (SWN)
5097,B258,Tribsees
2578,B308,Kirchdorf/Poel
2749,B320,Gersdorf
1803,B334,Groß Lüsewitz
3965,B365,Süderholz-Neuendorf
6310,B382,Karlshagen
15003,B471,Schmarsow
2518,B482,Groß Kiesow-Schlagtow
167,B488,Anklam
839,B508,Carlow
1769,B511,Grevesmühlen
2272,B525,Ventschow
312,B531,Baumgarten
1888,B544,Parum
5009,B556,Teterow
1669,B565,Borrentin-Wolkwitz
4080,B587,Rathebur
1495,B629,Goldenbow
15189,B650,Sukow-Levitzow
5854,B670,Friedland
4282,B687,Rothemühl
7078,B710,Dodow
3564,B728,Neustadt-Glewe-Friedrichsmoor
3945,B747,Plau am See
7077,B766,Groß Lukow
4101,B818,Redefin
6106,B853,Rechlin
6109,B898,Grambow-Schwennenz
1717,B923,Grabow (Kläranlage Fahlenkamp)
3146,B926,Malk Göhren
3297,B951,Krümmel
3238,B995,Dewichow
1981,C720,Hamburg-Neuwiedenthal
619,E006,Borkum-Süderstraße
7373,E008,Borkum-Flugplatz
1030,E025,Dornum
6091,E031,Spiekeroog (SWN)
6157,E043,Wangerland-Hooksiel
2844,E067,"Langen-Holßel, Kreis Cuxhaven"
4841,E078,"Steinau, Kr. Cuxhaven"
1451,E082,Freiburg/Elbe
2822,E087,Lamstedt
1056,E091,Drochtersen
6108,E095,Ruthenstrom
4857,E099,Mittelnkirchen-Hohenfelde
2763,E103,Norden-Leybuchtpolder
4803,E145,Butjadingen-Inte
4920,E158,Beverstedt
2465,E188,Jork-Moorende
561,E200,Bockhorn-Grabstede
1014,E207,Dollart-Kanalpolder
3342,E212,Moormerland-Neermoor
5518,E229,Westerstede
3853,E232,Ovelgönne
4078,E234,Rastede
642,E235,Brake
4594,E246,Schwanewede-Neuenkirchen
5014,E254,Worpswede-Hüttenbusch
760,E273,Rosengarten-Klecken
2689,E277,Königsmoor
542,E297,Bleckede-Walmsburg
6093,E298,Wendisch Evern
2355,E335,Hude/Oldenburg
3848,E342,Ottersberg-Otterstedt
4275,E355,Rotenburg (Wümme)
5767,E364,Heeslingen-Wiersdorf
15512,E374,Rehlingen-Ehlbeck
5762,E387,Zernien
6159,E402,Dörpen
44,E426,Großenkneten
5822,E438,Bassum
4600,E445,Schwarme
5209,E451,Verden-Dauelsen
5146,E475,Uelzen
5132,E501,Twist-Hebelermeer
1792,E513,Groß Berßen
292,E545,Barnstorf
4883,E564,Frankenfeld-Hedern
1336,E571,"Fallingbostel, Bad"
7361,E586,Scharnhorst-Marwede
1223,E601,Ringe-Großringe
4683,E622,Fürstenau
78,E626,Alfhausen
988,E631,Dinklage
2577,E651,"Kirchdorf, Kreis Diepholz"
3612,E652,Nienburg
4112,E659,Rehburg-Loccum
4601,E662,Essel
3558,E667,Neustadt am Rübenberge
5382,E672,Wedemark-Elze
848,E673,Celle (Stadt)
5148,E688,Uetze
7432,E691,Wittingen-Vorhop
357,E704,"Bentheim, Bad"
3820,E711,Ostercappeln-Schwagstorf
1304,E718,"Essen-Brockhausen, Bad"
4288,E727,"Rothenfelde, Bad"
1993,E732,Hameln
7425,E738,Rinteln-Volksen
13675,E739,Hameln-Hastenbeck
294,E744,Barsinghausen-Hohenbostel
4367,E748,Salzhemmendorf-Lauenstein
2011,E755,Hannover-Herrenhausen
2012,E756,Hannover-Kirchrode
13699,E762,Lehrte-Sievershausen
4790,E764,Springe
5676,E790,Wolfsburg (Südwest)
4947,E792,Süpplingen
13777,E798,Helmstedt-Emmerstedt
1278,E799,Cremlingen-Destedt
3844,E805,Ottenstein
2323,E818,"Bevern, Kr. Holzminden"
1170,E835,Eimen-Vorwohle
3348,E839,Moringen-Lutterbeck
3651,E857,Northeim-Stöckheim
3650,E858,Northeim-Imbshausen
4651,E864,Seesen
7099,E871,Liebenburg-Othfresen
2839,E884,Langelsheim-Astfeld
2039,E897,"Harzburg, Bad"
567,E902,Bodenfelde-Amelith
378,E931,Berka
2174,E944,Herzberg
2175,E950,Herzberg-Lonau
2890,E955,"Lauterberg,Bad-Bartolfelde"
1039,E970,Dransfeld-Ossenfeld
3280,F020,Meyenburg
2438,F050,Uckerland-Karlstein
4984,F069,Hohenreinkendorf
2951,F105,Lenzen/Elbe
2531,F108,Karstädt/Prignitz
2779,F125,Kuhbier
5643,F143,Wittstock-Rote Mühle
3509,F151,Menz
3308,F172,Mittenwalde/Uckermark
3473,F178,Neuruppin-Gühlen Glienicke
3881,F191,Passow
7079,F199,Berkholz-Meyenburg
3906,F210,Perleberg
5745,F263,Zehdenick
1810,F265,Schorfheide-Groß Schönebeck
1497,F280,Friedrichswalde
2625,F305,Kleßen
2733,F325,Kremmen-Groß Ziethen
3205,F338,Marwitz (Wasserwerk)
7389,F361,Heckelberg
5729,F385,Wustrow
6265,F419,Wusterwitz
5825,F431,Berge
4637,F448,Staaken
53,F451,Ahrensfelde
4912,F470,Strausberg
3376,F475,Müncheberg
5684,F509,Wollin
6253,F518,Brandenburg/Havel
1801,F520,Groß Kreutz
5555,F545,Thyrow
3967,F598,Pohlitz
735,F620,Brück-Gömnigk
1350,F635,Felgentreu
13712,F660,Münchehofe
714,F681,Neu Madlitz
6170,F695,Coschen
